Booking_ID,Pickup_Location,Vehicle_Type,Booking_Status,Booking_Value,Driver_Rating
CNR7153255142,Tumkur Road,Prime Sedan,Canceled by Driver,444,
CNR2940424040,Magadi Road,Bike,Success,158,4.1
CNR2982357879,Sahakar Nagar,Prime SUV,Success,386,4.2
CNR2395710036,HSR Layout,eBike,Canceled by Customer,384,
CNR1797421769,Rajajinagar,Mini,Success,822,4.0
CNR8787177882,Kadugodi,Mini,Success,173,3.4
CNR3612067560,Tumkur Road,Bike,Success,140,3.2
CNR5374902489,Bannerghatta Road,Prime Plus,Canceled by Driver,344,
CNR5030602354,Chamarajpet,Mini,Driver Not Found,839,
CNR6328453219,RT Nagar,Auto,Canceled by Driver,893,
CNR4787583516,Hosur Road,Prime Plus,Success,164,4.5
CNR7943634301,Kammanahalli,Prime Plus,Success,399,3.9
CNR4524472111,Cox Town,Auto,Success,330,3.0
CNR3914552212,Hosur Road,Auto,Canceled by Driver,427,
CNR8181602032,Indiranagar,Bike,Success,378,4.8
CNR8090918544,Magadi Road,Bike,Success,343,3.7
CNR3211335290,Ramamurthy Nagar,Mini,Driver Not Found,366,
CNR3196156650,Electronic City,Bike,Success,401,3.3
CNR9975925287,Magadi Road,Prime SUV,Success,343,3.0
CNR1591113431,Koramangala,eBike,Success,2014,4.2
CNR3650331573,Basavanagudi,eBike,Success,650,4.9
CNR6013805089,Padmanabhanagar,Prime Sedan,Success,231,3.2
CNR4306636052,Mysore Road,Prime SUV,Canceled by Driver,909,
CNR9832070187,Koramangala,Bike,Success,189,4.9
CNR5620539253,Mysore Road,Prime Plus,Success,311,4.3
CNR4443921904,Tumkur Road,Mini,Success,286,4.0
CNR7194303296,Mysore Road,Mini,Success,141,4.7
CNR6494005067,Yelahanka,Auto,Success,214,3.3
CNR6805579107,Indiranagar,Prime SUV,Success,2183,4.0
CNR6003663433,Rajajinagar,Prime Plus,Canceled by Customer,604,
CNR2998177390,RT Nagar,Auto,Driver Not Found,802,
CNR7979458138,Frazer Town,eBike,Success,1095,4.8
CNR7286474506,Jayanagar,eBike,Canceled by Customer,120,
CNR9820692957,Koramangala,Prime Sedan,Success,241,3.2
CNR4094067439,Majestic,Prime Sedan,Success,475,4.3
CNR7142279862,Yeshwanthpur,eBike,Success,461,4.5
